Model,TN,FP,FN,TP,Accuracy,Precision,Recall,F1_Score
Isolation Forest,1601,81,370,37,0.7841072283389181,0.3135593220338983,0.09090909090909091,0.14095238095238094
Autoencoder,1656,26,275,132,0.8559119195787458,0.8354430379746836,0.32432432432432434,0.4672566371681416
