Threshold_Percentile,Threshold,TN,FP,FN,TP,Accuracy,Precision,Recall,F1_Score
95.0,0.47018558,1489,170,142,265,0.8489835430784124,0.6091954022988506,0.6511056511056511,0.6294536817102138
97.5,0.58759105,1560,99,201,206,0.8547918683446273,0.6754098360655738,0.5061425061425061,0.5786516853932584
99.0,1.9886372,1592,67,345,62,0.8005808325266215,0.4806201550387597,0.15233415233415235,0.23134328358208955
