Model,ROC_AUC,PR_AUC
Isolation Forest,0.5499712229795464,0.23326546070827725
Dense Autoencoder,0.7869989219573048,0.6156665856895076
LSTM Autoencoder,0.8537468917215751,0.572920332894264
