Model,Accuracy,Precision,Recall,F1_Score
Isolation Forest,0.7841072283389181,0.3135593220338983,0.09090909090909091,0.14095238095238094
Dense Autoencoder,0.8559119195787458,0.8354430379746836,0.32432432432432434,0.4672566371681416
LSTM Autoencoder,0.8547918683446273,0.6754098360655738,0.5061425061425061,0.5786516853932584
