Model,Threshold_Percentile,Threshold,TN,FP,FN,TP,Accuracy,Precision,Recall,F1_Score
Autoencoder,95.0,0.10636527932665688,3508,450,86,133,0.8716782379698348,0.2281303602058319,0.6073059360730594,0.3316708229426434
Autoencoder,97.5,0.12802249541649752,3684,274,98,121,0.9109408666507063,0.30632911392405066,0.5525114155251142,0.3941368078175896
Autoencoder,99.0,0.1594420394761426,3778,180,106,113,0.9315298060809193,0.3856655290102389,0.5159817351598174,0.44140625
